epsilon,eps_actual,graph_type,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
0.28,0.28,euclidean,0,433,TorusMDS,7.6048,,,2816.0,tolerance,0.1043,0.201948292971399,0.2688363096497132,0.169405178587516,0.8758586085030465,0.8401362991946714,6.56684,results/grg_normalized_TorusMDS_comparison.csv,
0.16,0.16,toroidal,1,633,TorusMDS,2.1072,,,2944.0,tolerance,0.0792,0.1033969181181819,0.1490799851545501,0.0901907339177069,0.952431268011933,0.9545346592901582,7.901089,results/grg_normalized_TorusMDS_comparison.csv,
0.4,0.4,toroidal,2,271,TorusMDS,2.5763,,,4352.0,tolerance,0.0332,0.200127788416519,0.2674966664952107,0.1767765938101908,0.8620294957947646,1.0,3.783469,results/grg_normalized_TorusMDS_comparison.csv,
0.28,0.28,toroidal,3,400,TorusMDS,1.9728,,,3328.0,tolerance,0.052,0.2043740154078998,0.2800106562950314,0.1727124154861305,0.7882680460100571,0.9490328656092692,4.726689,results/grg_normalized_TorusMDS_comparison.csv,
0.4,0.4,toroidal,4,505,TorusMDS,2.1491,,,3072.0,tolerance,0.2847,0.2023794693261789,0.2703293195933705,0.178887055776137,0.8623202801052005,1.0,3.791622,results/grg_normalized_TorusMDS_comparison.csv,
0.34,0.34,toroidal,5,211,TorusMDS,1.7397,,,3072.0,tolerance,0.0142,0.2341416445986505,0.3046056083991211,0.1954938909192997,0.7380277462288442,0.9861935600284464,4.104034,results/grg_normalized_TorusMDS_comparison.csv,
0.16,0.16,toroidal,6,318,TorusMDS,1.7539,,,3072.0,tolerance,0.0157,0.0997842905402453,0.1385354346989948,0.0863841997297619,0.9530415997789964,0.9274117685442482,8.236891,results/grg_normalized_TorusMDS_comparison.csv,
0.22,0.22,euclidean,7,139,TorusMDS,1.545,,,2688.0,tolerance,0.0031,0.1079993811341023,0.1667300081756632,0.0955370607434533,0.9701925223398964,0.9326125635971758,11.911759,results/grg_normalized_TorusMDS_comparison.csv,
0.4,0.4,toroidal,8,269,TorusMDS,2.2846,,,3584.0,tolerance,0.0324,0.201883766265916,0.2690532632501011,0.1785009070934975,0.8624577012268069,1.0,3.784229,results/grg_normalized_TorusMDS_comparison.csv,
0.1,0.13,euclidean,9,171,TorusMDS,2.3197,,,4224.0,tolerance,0.0036,0.09002272721069,0.1229427901542755,0.0745654846199943,0.9823530293092696,0.9161044838374556,25.893899,results/grg_normalized_TorusMDS_comparison.csv,
