k,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
6,0,433,TorusMDS,4.0753,,,2304.0,tolerance,0.0303,0.3468358808074315,0.3705786133883308,0.2772084194058573,0.2331669326897064,0.9222895142931388,4.56466,results/sbm_normalized_TorusMDS_comparison.csv,
3,1,109,TorusMDS,1.3656,,,3072.0,tolerance,0.0023,0.3164004586757385,0.3549746292130271,0.2603326342612636,0.4798048442309867,0.7815769431916668,4.945803,results/sbm_normalized_TorusMDS_comparison.csv,
6,2,650,TorusMDS,1.5201,,,3072.0,tolerance,0.1647,0.3464328759742734,0.3789195818029132,0.2734181616139266,0.2155608300045771,0.9807915893630176,4.456423,results/sbm_normalized_TorusMDS_comparison.csv,
8,3,404,TorusMDS,1.0785,,,2304.0,tolerance,0.0237,0.3587954893920502,0.3864105145594063,0.288446995273371,0.2201896912976524,0.8710127547658248,4.669941,results/sbm_normalized_TorusMDS_comparison.csv,
6,4,349,TorusMDS,1.0406,,,2304.0,tolerance,0.0175,0.3462235902240568,0.3785922686754949,0.2797824869611882,0.2780292476782046,0.8716888312971622,4.706519,results/sbm_normalized_TorusMDS_comparison.csv,
7,5,654,TorusMDS,1.1611,,,2304.0,tolerance,0.0799,0.3456163257628476,0.3736823331177397,0.2734851038033805,0.2221993861537259,0.968616567526729,4.509561,results/sbm_normalized_TorusMDS_comparison.csv,
6,6,720,TorusMDS,1.1818,,,2304.0,tolerance,0.1999,0.3424962186073846,0.3734924358753774,0.2699931975791365,0.2363312045574971,0.9868480725623582,4.448903,results/sbm_normalized_TorusMDS_comparison.csv,
8,7,536,TorusMDS,1.2124,,,2304.0,tolerance,0.0465,0.357706491290551,0.3883058604214337,0.2857530775978377,0.1724173587036653,0.9144720320180548,4.567559,results/sbm_normalized_TorusMDS_comparison.csv,
3,8,729,TorusMDS,1.6512,,,3328.0,tolerance,0.1449,0.3490392514260651,0.386263834751024,0.2762795940191819,0.2664057000284128,0.9995959595959596,4.348057,results/sbm_normalized_TorusMDS_comparison.csv,
5,9,199,TorusMDS,1.2883,,,2944.0,tolerance,0.0051,0.3389551236161764,0.371303808664075,0.2778753623640616,0.3551188115155591,0.7568014659846797,4.961514,results/sbm_normalized_TorusMDS_comparison.csv,
3,10,106,TorusMDS,1.0047,,,2304.0,tolerance,0.0015,0.3186478461675751,0.3584154723436015,0.2627569409124167,0.4802332856442293,0.7676882008273792,4.980634,results/sbm_normalized_TorusMDS_comparison.csv,
6,11,468,TorusMDS,1.0811,,,2304.0,tolerance,0.0353,0.3417164775039311,0.3730890905291491,0.2708629998380105,0.2529052689767903,0.9469396069893116,4.517113,results/sbm_normalized_TorusMDS_comparison.csv,
7,12,412,TorusMDS,1.0762,,,2304.0,tolerance,0.0248,0.3549460869548259,0.3810150776790627,0.2848231757581382,0.2100008617066417,0.8868303353657315,4.639776,results/sbm_normalized_TorusMDS_comparison.csv,
7,13,993,TorusMDS,1.4141,,,2304.0,tolerance,0.3476,0.349743227823415,0.3857368327053603,0.275848545241052,0.1730809040685914,0.9963574520717376,4.410038,results/sbm_normalized_TorusMDS_comparison.csv,
8,14,484,TorusMDS,1.0943,,,2304.0,tolerance,0.0361,0.3543920596386366,0.3821952341975668,0.2850846035474737,0.1937903545160558,0.9040712790141824,4.580154,results/sbm_normalized_TorusMDS_comparison.csv,
7,15,488,TorusMDS,1.1112,,,2304.0,tolerance,0.0376,0.354085284693369,0.3828560288053051,0.2833487954875777,0.2051040597686884,0.9235491467569495,4.580699,results/sbm_normalized_TorusMDS_comparison.csv,
6,16,136,TorusMDS,1.472,,,3328.0,tolerance,0.0021,0.3258451119529985,0.3678364315335142,0.2663426469478041,0.4195725013265431,0.5742581676724126,5.578417,results/sbm_normalized_TorusMDS_comparison.csv,
5,17,335,TorusMDS,1.0405,,,2304.0,tolerance,0.0166,0.3381700151804668,0.3681403631743536,0.2693942039869257,0.299330764715648,0.9126969049653268,4.570815,results/sbm_normalized_TorusMDS_comparison.csv,
7,18,306,TorusMDS,1.1624,,,2432.0,tolerance,0.0125,0.3594736197495835,0.3905386435716055,0.2926438022257751,0.2446975497992779,0.821697186243975,4.736471,results/sbm_normalized_TorusMDS_comparison.csv,
6,19,859,TorusMDS,1.2605,,,2304.0,tolerance,0.2678,0.3466981447079174,0.3851068645547957,0.2727362007008654,0.1904345611843528,0.9967676767676766,4.429877,results/sbm_normalized_TorusMDS_comparison.csv,
4,20,372,TorusMDS,1.3538,,,2944.0,tolerance,0.0228,0.3384858625477482,0.3649747009304116,0.2680890034353942,0.2905155330829476,0.9612462729546668,4.465895,results/sbm_normalized_TorusMDS_comparison.csv,
6,21,392,TorusMDS,1.0604,,,2304.0,tolerance,0.0227,0.3425567091052464,0.3729102419477668,0.2741052430459647,0.2727116236296942,0.9045370391964668,4.577297,results/sbm_normalized_TorusMDS_comparison.csv,
4,22,246,TorusMDS,1.0356,,,2304.0,tolerance,0.0085,0.3360094998351332,0.3695475366527191,0.2719170605654522,0.3345636463640848,0.8769912451081749,4.631658,results/sbm_normalized_TorusMDS_comparison.csv,
7,23,168,TorusMDS,1.3968,,,3200.0,tolerance,0.0032,0.3439085148154199,0.3796172085541733,0.2827328019776943,0.3403496071087288,0.6255705183730449,5.279124,results/sbm_normalized_TorusMDS_comparison.csv,
5,24,121,TorusMDS,1.0049,,,2304.0,tolerance,0.0018,0.3235453179575824,0.3667832294430717,0.2656315769050959,0.4422794804679009,0.6848787895459573,5.223559,results/sbm_normalized_TorusMDS_comparison.csv,
4,25,612,TorusMDS,1.2381,,,2432.0,tolerance,0.0791,0.3426119055904977,0.3764944770775792,0.2707908382904111,0.2561554804672074,0.9983838383838384,4.388059,results/sbm_normalized_TorusMDS_comparison.csv,
3,26,752,TorusMDS,1.4272,,,2560.0,tolerance,0.1557,0.3439741139152099,0.3843855461664504,0.2691620579328592,0.2576082795620347,0.998989898989899,4.430102,results/sbm_normalized_TorusMDS_comparison.csv,
6,27,216,TorusMDS,1.0188,,,2304.0,tolerance,0.0058,0.3365942712533016,0.3749199394807647,0.2786424424399939,0.3714869509086621,0.6959705511168065,5.144712,results/sbm_normalized_TorusMDS_comparison.csv,
8,28,282,TorusMDS,1.0631,,,2304.0,tolerance,0.0103,0.3588410324293529,0.3850602169343732,0.2925325005220095,0.2579626741321923,0.7370454187110173,4.921156,results/sbm_normalized_TorusMDS_comparison.csv,
7,29,170,TorusMDS,1.0648,,,2432.0,tolerance,0.0032,0.3409418029129505,0.3806510301910479,0.2804913831630231,0.3558979666171457,0.6086790275886989,5.363938,results/sbm_normalized_TorusMDS_comparison.csv,
8,30,253,TorusMDS,1.063,,,2304.0,tolerance,0.008,0.3603121590219497,0.3934412795188456,0.2940879132247618,0.2603464473940564,0.7158705288723834,5.023544,results/sbm_normalized_TorusMDS_comparison.csv,
6,31,123,TorusMDS,1.0103,,,2304.0,tolerance,0.0019,0.3330981368675318,0.3793550444935638,0.2741041709811828,0.400000822706052,0.615407242092229,5.411297,results/sbm_normalized_TorusMDS_comparison.csv,
8,32,198,TorusMDS,1.188,,,2688.0,tolerance,0.0046,0.3454920559578586,0.3826737201966446,0.2835993313683141,0.3378201414650302,0.6246068845276375,5.287416,results/sbm_normalized_TorusMDS_comparison.csv,
7,33,158,TorusMDS,0.9911,,,2304.0,tolerance,0.0031,0.3245020220115908,0.3636039278285513,0.2658481530770618,0.4230166946388481,0.5892538398483227,5.520979,results/sbm_normalized_TorusMDS_comparison.csv,
6,34,231,TorusMDS,1.0408,,,2304.0,tolerance,0.0067,0.342089271332539,0.3720888151178165,0.2796284674374173,0.3186540980773915,0.7548922271529034,4.921699,results/sbm_normalized_TorusMDS_comparison.csv,
7,35,425,TorusMDS,1.0812,,,2304.0,tolerance,0.0268,0.355722623787494,0.3785313138214244,0.2844063825251425,0.2412104091519307,0.9029129395550342,4.63167,results/sbm_normalized_TorusMDS_comparison.csv,
5,36,275,TorusMDS,1.0446,,,2304.0,tolerance,0.0102,0.341151366736314,0.3695414851820921,0.2775939237971216,0.3303181228656873,0.8493002254637809,4.739229,results/sbm_normalized_TorusMDS_comparison.csv,
3,37,316,TorusMDS,1.3479,,,2816.0,tolerance,0.0165,0.3412558819529843,0.3701882991210551,0.2721980545465814,0.2974122409009743,0.9697932153961236,4.463273,results/sbm_normalized_TorusMDS_comparison.csv,
5,38,417,TorusMDS,1.2192,,,2560.0,tolerance,0.0277,0.3382306106039371,0.3645658665493208,0.2692263222274919,0.2852023297437435,0.9280403858780182,4.552539,results/sbm_normalized_TorusMDS_comparison.csv,
3,39,889,TorusMDS,1.3184,,,2304.0,tolerance,0.3381,0.344899897435368,0.3866536717417449,0.2727345344950673,0.2494865031922258,1.0,4.40203,results/sbm_normalized_TorusMDS_comparison.csv,
5,40,572,TorusMDS,1.2391,,,2304.0,tolerance,0.0614,0.3332184100070308,0.361542771522043,0.2606286485010728,0.2880639784244179,0.9833867605148896,4.466537,results/sbm_normalized_TorusMDS_comparison.csv,
4,41,338,TorusMDS,1.0568,,,2304.0,tolerance,0.0177,0.336266904396962,0.3617125074307021,0.265611214833958,0.3186524179968731,0.9355557968259992,4.52194,results/sbm_normalized_TorusMDS_comparison.csv,
4,42,259,TorusMDS,1.1646,,,2560.0,tolerance,0.0094,0.3349318327007962,0.364976364125737,0.2707358808254824,0.3451402154682583,0.8883733259448531,4.622202,results/sbm_normalized_TorusMDS_comparison.csv,
8,43,514,TorusMDS,1.5384,,,3200.0,tolerance,0.0415,0.3526652813110167,0.379873119325543,0.2818950114943014,0.1836595826911939,0.925024974922802,4.568847,results/sbm_normalized_TorusMDS_comparison.csv,
3,44,130,TorusMDS,1.0254,,,2304.0,tolerance,0.0023,0.3217494974581287,0.3603489915152462,0.2644698830089902,0.4499791561529046,0.7985127660763943,4.859715,results/sbm_normalized_TorusMDS_comparison.csv,
7,45,846,TorusMDS,1.3309,,,2304.0,tolerance,0.1583,0.3464226126788758,0.3774824539167052,0.2727169839523084,0.1968005811397647,0.9852484023912592,4.469966,results/sbm_normalized_TorusMDS_comparison.csv,
3,46,103,TorusMDS,1.0183,,,2304.0,tolerance,0.0015,0.3142714521623775,0.3543481545569659,0.2593111871137784,0.4800792244059732,0.7750537177820519,4.971437,results/sbm_normalized_TorusMDS_comparison.csv,
7,47,957,TorusMDS,1.3885,,,2304.0,tolerance,0.3337,0.3539237267881348,0.392041132619972,0.2796307746986468,0.1571144069106613,0.991919191919192,4.434248,results/sbm_normalized_TorusMDS_comparison.csv,
